LAT,LONG,YEAR1,YEAR2,PRED
45.328324,-75.792325,2012,2014,1
45.328410,-75.792361,2015,2015,1
45.328411,-75.760695,2009,2012,1
45.328432,-75.777595,2007,2009,1
45.328554,-75.777044,2012,2015,1
45.328583,-75.792432,2015,2015,1
45.328611,-75.752915,2009,2012,1
45.328615,-75.754894,2015,2015,1
45.328641,-75.770421,2009,2012,1
45.328681,-75.756151,2009,2012,1
45.328681,-75.756972,2009,2012,1
45.328681,-75.756972,2012,2014,1
45.328707,-75.770132,2007,2009,1
45.328709,-75.762817,2009,2012,1
45.328709,-75.762817,2014,2015,1
45.328715,-75.752654,2009,2012,1
45.328795,-75.775981,2007,2009,1
45.328865,-75.756507,2009,2012,1
45.329080,-75.763117,2007,2009,1
45.329080,-75.763117,2014,2015,1
45.329084,-75.790485,2014,2015,1
45.329098,-75.774629,2007,2009,1
45.329130,-75.755308,2009,2012,1
45.329166,-75.784609,2012,2014,1
45.329212,-75.783972,2009,2012,1
45.329249,-75.753423,2009,2012,1
45.329296,-75.765538,2014,2015,1
45.329445,-75.790644,2009,2012,1
45.329448,-75.752919,2009,2012,1
45.329451,-75.773048,2007,2009,1
45.329498,-75.755602,2009,2012,1
45.329498,-75.755602,2014,2015,1
45.329498,-75.755602,2015,2016,1
45.329583,-75.788534,2012,2012,1
45.329592,-75.781347,2014,2015,1
45.329609,-75.754627,2009,2012,1
45.329656,-75.782657,2009,2012,1
45.329694,-75.754414,2009,2012,1
45.329696,-75.754410,2009,2012,1
45.329725,-75.765613,2009,2012,1
45.329750,-75.788604,2007,2009,1
45.329781,-75.756973,2014,2015,1
45.329871,-75.704158,2012,2014,1
45.329892,-75.764949,2007,2009,1
45.329892,-75.764949,2009,2012,1
45.329892,-75.764949,2014,2015,1
45.329899,-75.753901,2009,2012,1
45.329901,-75.771327,2007,2012,1
45.329908,-75.789753,2009,2014,1
45.329923,-75.758466,2012,2014,1
45.329932,-75.785418,2009,2012,1
45.329960,-75.771382,2007,2012,1
45.329995,-75.784152,2012,2012,1
45.330006,-75.757852,2007,2014,1
45.330076,-75.787672,2012,2012,1
45.330112,-75.793343,2009,2012,1
45.330137,-75.786405,2012,2014,1
45.330224,-75.780699,2009,2012,1
45.330266,-75.763281,2012,2014,1
45.330266,-75.763281,2014,2015,1
45.330334,-75.787765,2009,2012,1
45.330342,-75.754928,2015,2016,1
45.330361,-75.781820,2015,2016,1
45.330362,-75.785316,2009,2012,1
45.330384,-75.787771,2012,2014,1
45.330463,-75.773465,2007,2009,1
45.330496,-75.785263,2009,2012,1
45.330496,-75.785263,2014,2015,1
45.330524,-75.781915,2015,2016,1
45.330566,-75.783223,2009,2012,1
45.330566,-75.783223,2012,2012,1
45.330606,-75.792538,2009,2012,1
45.330635,-75.767889,2007,2009,1
45.330635,-75.767889,2009,2012,1
45.330640,-75.771059,2007,2012,1
45.330673,-75.770424,2009,2012,1
45.330684,-75.709092,2012,2014,1
45.330717,-75.751731,2009,2012,1
45.330721,-75.784846,2009,2014,1
45.330743,-75.758124,2007,2012,1
45.330770,-75.767301,2012,2015,1
45.330852,-75.792733,2012,2015,1
45.330858,-75.792738,2009,2012,1
45.330874,-75.787499,2014,2015,1
45.330906,-75.791584,2007,2012,1
45.330957,-75.777947,2012,2012,1
45.331001,-75.779827,2014,2015,1
45.331052,-75.757341,2007,2012,1
45.331052,-75.757341,2012,2014,1
45.331055,-75.783231,2009,2012,1
45.331104,-75.787384,2012,2012,1
45.331116,-75.795826,2009,2012,1
45.331135,-75.780229,2007,2012,1
45.331233,-75.754762,2007,2009,1
45.331327,-75.776310,2012,2014,1
45.331361,-75.764677,2007,2012,1
45.331419,-75.764427,2007,2009,1
45.331440,-75.754244,2007,2012,1
45.331447,-75.756338,2007,2012,1
45.331455,-75.785382,2007,2012,1
45.331459,-75.767711,2012,2015,1
45.331478,-75.795526,2014,2015,1
45.331500,-75.788620,2014,2015,1
45.331560,-75.770730,2007,2009,1
45.331615,-75.785894,2009,2012,1
45.331998,-75.722366,2009,2012,1
45.332023,-75.790568,2009,2012,1
45.332108,-75.761832,2009,2012,1
45.332208,-75.764360,2012,2014,1
45.332216,-75.756594,2014,2014,1
45.332262,-75.772549,2009,2012,1
45.332333,-75.786163,2009,2012,1
45.332376,-75.789027,2012,2012,1
45.332591,-75.768081,2012,2015,1
45.332666,-75.773397,2009,2012,1
45.332666,-75.773397,2012,2014,1
45.332692,-75.767639,2015,2015,1
45.332703,-75.768999,2009,2012,1
45.332791,-75.773787,2009,2012,1
45.332918,-75.770860,2012,2015,1
45.332959,-75.745465,2012,2014,1
45.332967,-75.766439,2014,2015,1
45.333011,-75.770803,2014,2015,1
45.333025,-75.772035,2009,2012,1
45.333102,-75.772273,2009,2012,1
45.333123,-75.743893,2014,2015,1
45.333138,-75.765691,2015,2015,1
45.333175,-75.771779,2007,2009,1
45.333339,-75.770401,2014,2015,1
45.333340,-75.767544,2014,2015,1
45.333341,-75.771675,2009,2012,1
45.333512,-75.766665,2009,2012,1
45.333512,-75.766665,2012,2015,1
45.333547,-75.755156,2009,2012,1
45.333630,-75.754789,2012,2014,1
45.333656,-75.766007,2012,2015,1
45.333662,-75.768620,2014,2015,1
45.333727,-75.765693,2009,2012,1
45.333753,-75.803110,2007,2014,1
45.333771,-75.748064,2014,2015,1
45.333796,-75.765418,2009,2012,1
45.333886,-75.770008,2009,2012,1
45.333934,-75.755848,2009,2012,1
45.333935,-75.798123,2009,2014,1
45.333991,-75.753617,2012,2012,1
45.333991,-75.753617,2012,2014,1
45.334053,-75.708466,2012,2014,1
45.334117,-75.764277,2012,2015,1
45.334142,-75.766710,2009,2012,1
45.334144,-75.763403,2014,2015,1
45.334146,-75.772484,2012,2014,1
45.334255,-75.789782,2014,2015,1
45.334313,-75.763720,2007,2012,1
45.334461,-75.737091,2009,2012,1
45.334516,-75.720573,2009,2012,1
45.334628,-75.796076,2012,2014,1
45.334639,-75.734837,2009,2012,1
45.334685,-75.754985,2009,2012,1
45.334706,-75.785862,2012,2014,1
45.334916,-75.736414,2012,2014,1
45.334996,-75.783598,2012,2012,1
45.334998,-75.800592,2014,2015,1
45.335027,-75.800452,2014,2015,1
45.335103,-75.733391,2012,2014,1
45.335106,-75.778759,2012,2012,1
45.335106,-75.778759,2014,2015,1
45.335127,-75.790624,2014,2015,1
45.335145,-75.760205,2009,2012,1
45.335178,-75.755941,2007,2009,1
45.335178,-75.755941,2012,2014,1
45.335178,-75.778007,2009,2012,1
45.335371,-75.739870,2007,2012,1
45.335414,-75.759424,2009,2012,1
45.335423,-75.791254,2014,2015,1
45.335429,-75.786664,2009,2012,1
45.335561,-75.738815,2009,2012,1
45.335616,-75.750255,2009,2012,1
45.335743,-75.748498,2009,2012,1
45.335813,-75.734613,2012,2014,1
45.335833,-75.772086,2007,2009,1
45.335854,-75.748243,2012,2014,1
45.335882,-75.788263,2009,2012,1
45.335932,-75.734376,2012,2014,1
45.336154,-75.770563,2012,2012,1
45.336173,-75.787691,2009,2012,1
45.336186,-75.773175,2007,2009,1
45.336197,-75.772375,2007,2009,1
45.336197,-75.777314,2009,2012,1
45.336261,-75.786150,2012,2012,1
45.336270,-75.804181,2007,2012,1
45.336296,-75.795381,2009,2012,1
45.336296,-75.795381,2014,2015,1
45.336400,-75.804255,2009,2012,1
45.336400,-75.804255,2012,2015,1
45.336410,-75.770555,2007,2009,1
45.362169,-75.786881,2009,2012,1
45.362176,-75.627686,2012,2015,1
45.362190,-75.643052,2007,2009,1
45.362194,-75.792733,2014,2015,1
45.362202,-75.726619,2009,2012,1
45.362202,-75.726619,2015,2016,1
45.362214,-75.704073,2014,2015,1
45.362224,-75.651091,2012,2014,1
45.362226,-75.784759,2009,2012,1
45.362226,-75.784759,2014,2015,1
45.362248,-75.785869,2012,2014,1
45.362286,-75.786943,2012,2012,1
45.362323,-75.704169,2007,2012,1
45.362339,-75.784822,2014,2015,1
45.362362,-75.702153,2014,2015,1
45.362373,-75.700332,2009,2012,1
45.362373,-75.700332,2012,2012,1
45.362373,-75.700332,2012,2014,1
45.362376,-75.770995,2009,2012,1
45.362402,-75.707713,2014,2015,1
45.362421,-75.673694,2009,2012,1
45.362421,-75.673694,2012,2014,1
45.362452,-75.787031,2009,2012,1
45.362484,-75.801875,2009,2012,1
45.362533,-75.702179,2014,2015,1
45.362577,-75.626703,2007,2012,1
45.362580,-75.784958,2007,2009,1
45.362586,-75.784961,2007,2009,1
45.362586,-75.800983,2009,2012,1
45.362601,-75.646299,2012,2015,1
45.362614,-75.801742,2009,2012,1
45.362616,-75.720852,2009,2012,1
45.362618,-75.671683,2012,2014,1
45.362627,-75.731516,2012,2015,1
45.362642,-75.626703,2007,2012,1
45.362644,-75.720851,2009,2012,1
45.362665,-75.793850,2014,2015,1
45.362676,-75.748586,2015,2015,1
45.362685,-75.628619,2012,2015,1
45.362691,-75.772324,2014,2015,1
45.362713,-75.718770,2009,2012,1
