LAT,LONG,YEAR1,YEAR2,PRED
45.329719,-75.752232,2015,2016,1
45.329783,-75.793086,2007,2009,1
45.329799,-75.754150,2009,2012,1
45.329799,-75.754150,2016,2016,1
45.329892,-75.794766,2012,2012,1
45.329902,-75.790536,2014,2015,1
45.329963,-75.780223,2007,2009,1
45.330052,-75.750962,2009,2012,1
45.330102,-75.773619,2014,2015,1
45.330241,-75.755180,2015,2015,1
45.330305,-75.776079,2007,2012,1
45.330347,-75.776494,2012,2014,1
45.330349,-75.776500,2007,2012,1
45.330349,-75.776500,2012,2014,1
45.330352,-75.718044,2012,2012,1
45.330361,-75.775829,2007,2014,1
45.330361,-75.781820,2015,2016,1
45.330467,-75.792426,2009,2015,1
45.330491,-75.780202,2012,2014,1
45.330496,-75.785263,2014,2015,1
45.330524,-75.717646,2012,2012,1
45.330524,-75.781915,2015,2016,1
45.330538,-75.785247,2014,2015,1
45.330623,-75.773362,2012,2014,1
45.330639,-75.749787,2015,2015,1
45.330673,-75.770424,2009,2012,1
45.330721,-75.784846,2014,2015,1
45.330740,-75.770670,2009,2012,1
45.330765,-75.778068,2012,2012,1
45.330816,-75.770912,2007,2012,1
45.330858,-75.792738,2009,2012,1
45.330888,-75.771138,2007,2012,1
45.330924,-75.777968,2014,2015,1
45.330943,-75.780751,2012,2015,1
45.330949,-75.775419,2009,2012,1
45.330960,-75.779227,2007,2009,1
45.331124,-75.755037,2009,2012,1
45.331135,-75.780229,2007,2012,1
45.331201,-75.790451,2012,2015,1
45.331311,-75.764898,2009,2012,1
45.331315,-75.700793,2009,2012,1
45.331317,-75.693848,2012,2012,1
45.331317,-75.693848,2015,2016,1
45.331325,-75.789065,2009,2012,1
45.331327,-75.776310,2012,2012,1
45.331327,-75.776310,2014,2015,1
45.331369,-75.788953,2012,2014,1
45.331485,-75.713465,2012,2014,1
45.331521,-75.767441,2012,2015,1
45.331572,-75.795573,2007,2009,1
45.331619,-75.749191,2007,2012,1
45.331626,-75.791403,2009,2012,1
45.331704,-75.776069,2012,2014,1
45.331743,-75.776043,2014,2015,1
45.331853,-75.761295,2014,2015,1
45.331906,-75.790717,2012,2014,1
45.331906,-75.790717,2014,2015,1
45.332009,-75.749423,2014,2015,1
45.332012,-75.790575,2014,2015,1
45.332107,-75.777876,2012,2012,1
45.332118,-75.789488,2012,2014,1
45.332118,-75.789488,2014,2015,1
45.332262,-75.772549,2009,2012,1
45.332262,-75.772549,2012,2014,1
45.332405,-75.772988,2014,2015,1
45.332407,-75.767577,2009,2015,1
45.332409,-75.771326,2012,2015,1
45.332430,-75.762942,2007,2009,1
45.332591,-75.768081,2012,2015,1
45.332594,-75.749780,2007,2012,1
45.332666,-75.773397,2009,2012,1
45.332666,-75.773397,2012,2014,1
45.332675,-75.773849,2009,2012,1
45.332703,-75.768999,2009,2012,1
