LAT,LON,MINY,MAXY,DRANGE,NPHOTO,NYEARS
45.314174,-75.838182,2007,2015,8,6,5
45.314177,-75.838189,2007,2015,8,6,5
45.314181,-75.834412,2007,2016,9,8,6
45.314200,-75.836612,2007,2015,8,6,5
45.314227,-75.834518,2007,2016,9,8,6
45.314227,-75.838297,2007,2015,8,6,5
45.314228,-75.838297,2007,2015,8,6,5
45.314277,-75.838403,2007,2015,8,6,5
45.314277,-75.838405,2007,2015,8,6,5
45.314279,-75.834632,2007,2016,9,8,6
45.314289,-75.836529,2007,2015,8,6,5
45.314301,-75.821550,2007,2014,7,5,4
45.314305,-75.824948,2007,2015,8,7,5
45.314315,-75.824195,2007,2014,7,4,4
45.314329,-75.834738,2007,2016,9,8,6
45.314331,-75.838520,2007,2015,8,6,5
45.314334,-75.838526,2007,2015,8,6,5
45.314345,-75.820752,2007,2014,7,4,4
45.314347,-75.831477,2007,2015,8,5,5
45.314354,-75.831453,2007,2015,8,5,5
45.314358,-75.820762,2007,2014,7,4,4
45.314371,-75.836452,2007,2015,8,6,5
45.314381,-75.825645,2007,2015,8,7,5
45.314382,-75.824034,2007,2014,7,4,4
45.314382,-75.832528,2007,2015,8,5,5
45.314383,-75.834852,2007,2016,9,8,6
45.314384,-75.838633,2007,2015,8,6,5
45.314387,-75.838639,2007,2015,8,6,5
45.314411,-75.836820,2007,2015,8,6,5
45.314412,-75.836823,2007,2015,8,6,5
45.314417,-75.831231,2007,2015,8,5,5
45.314427,-75.832371,2007,2015,8,5,5
45.314438,-75.838748,2007,2015,8,6,5
45.314439,-75.838752,2007,2015,8,6,5
45.314451,-75.821183,2007,2014,7,5,4
45.314461,-75.825060,2007,2015,8,7,5
45.314463,-75.836367,2007,2015,8,6,5
45.314465,-75.836937,2007,2015,8,6,5
45.314466,-75.836363,2007,2015,8,6,5
45.314468,-75.825442,2007,2015,8,6,5
45.314468,-75.836942,2007,2015,8,6,5
45.314487,-75.838853,2007,2015,8,6,5
45.314489,-75.838859,2007,2015,8,6,5
45.314501,-75.823746,2007,2014,7,4,4
45.314516,-75.837044,2007,2015,8,6,5
45.314517,-75.837048,2007,2015,8,6,5
45.314529,-75.832188,2007,2015,8,5,5
45.314539,-75.838966,2007,2015,8,6,5
45.314540,-75.823651,2007,2014,7,4,4
45.314542,-75.838973,2007,2015,8,6,5
45.314567,-75.837155,2007,2015,8,6,5
45.314571,-75.837163,2007,2015,8,6,5
45.314594,-75.825234,2007,2015,8,6,5
45.314594,-75.839085,2007,2015,8,6,5
45.314613,-75.835346,2007,2016,9,9,6
45.314618,-75.837264,2007,2015,8,6,5
45.314619,-75.837266,2007,2015,8,6,5
45.314629,-75.829051,2007,2015,8,4,4
45.314637,-75.832000,2007,2015,8,6,5
45.314651,-75.823383,2007,2014,7,4,4
45.314655,-75.839215,2007,2015,8,6,5
45.314666,-75.820664,2007,2014,7,5,4
45.314674,-75.837383,2007,2015,8,6,5
45.314676,-75.837389,2007,2015,8,6,5
45.314701,-75.839314,2007,2015,8,6,5
45.314703,-75.823259,2007,2014,7,4,4
45.314722,-75.836125,2007,2015,8,6,5
45.314723,-75.837489,2007,2015,8,5,5
45.314727,-75.837497,2007,2015,8,5,5
45.314745,-75.820476,2007,2014,7,5,4
45.314756,-75.835656,2007,2016,9,9,6
45.314781,-75.837612,2007,2015,8,6,5
45.314785,-75.837621,2007,2015,8,6,5
45.314807,-75.823008,2007,2014,7,4,4
45.314826,-75.822962,2007,2014,7,4,4
45.314831,-75.837721,2007,2015,8,6,5
45.314834,-75.837727,2007,2015,8,6,5
45.314836,-75.820257,2007,2014,7,5,4
45.314847,-75.820231,2007,2014,7,5,4
45.314857,-75.839339,2007,2015,8,6,5
45.314867,-75.821172,2007,2014,7,4,4
45.314871,-75.821175,2007,2014,7,4,4
45.314872,-75.826802,2007,2015,8,8,5
45.314873,-75.826800,2007,2015,8,8,5
45.314882,-75.835929,2007,2016,9,6,5
45.314886,-75.829187,2007,2015,8,5,5
45.314888,-75.837842,2007,2015,8,6,5
45.314889,-75.825930,2007,2015,8,7,5
45.314891,-75.837849,2007,2015,8,6,5
45.314901,-75.825373,2007,2014,7,4,3
45.314930,-75.820033,2007,2014,7,5,4
45.314934,-75.839266,2007,2015,8,6,5
45.314934,-75.839267,2007,2015,8,6,5
45.314937,-75.837947,2007,2015,8,6,5
45.314940,-75.837953,2007,2015,8,6,5
45.314949,-75.826076,2007,2015,8,7,5
45.314959,-75.822642,2007,2014,7,4,4
45.314963,-75.832183,2007,2015,8,6,5
45.314969,-75.822618,2007,2014,7,4,4
45.314996,-75.838072,2007,2015,8,6,5
45.314997,-75.838076,2007,2015,8,6,5
45.315016,-75.836218,2007,2016,9,8,6
45.315019,-75.819829,2007,2014,7,4,3
45.315023,-75.821298,2007,2014,7,5,4
45.315024,-75.839181,2007,2015,8,6,5
45.315043,-75.825203,2007,2014,7,5,4
45.315045,-75.838177,2007,2015,8,6,5
45.315048,-75.838184,2007,2015,8,6,5
45.315058,-75.819739,2007,2014,7,4,4
45.315067,-75.836328,2007,2016,9,8,6
45.315096,-75.826435,2007,2015,8,7,5
45.315098,-75.838292,2007,2015,8,6,5
45.315100,-75.839109,2007,2015,8,6,5
45.315103,-75.838301,2007,2015,8,6,5
45.315110,-75.819622,2007,2014,7,4,4
45.315116,-75.836434,2007,2016,9,8,6
45.315131,-75.822228,2007,2014,7,4,4
45.315139,-75.822211,2007,2014,7,4,4
45.315147,-75.838396,2007,2015,8,6,5
45.315147,-75.838397,2007,2015,8,6,5
45.315157,-75.821410,2007,2014,7,5,4
45.315175,-75.836561,2007,2016,9,8,6
45.315180,-75.819484,2007,2014,7,4,4
45.315182,-75.824937,2007,2014,7,5,4
45.315187,-75.839026,2007,2015,8,6,5
45.315188,-75.821438,2007,2014,7,5,4
45.315188,-75.824923,2007,2014,7,5,4
45.315192,-75.818858,2007,2014,7,5,4
45.315197,-75.818778,2007,2014,7,4,4
45.315197,-75.839017,2007,2015,8,6,5
45.315200,-75.840377,2007,2015,8,6,5
45.315202,-75.838515,2007,2015,8,6,5
45.315205,-75.838522,2007,2015,8,6,5
45.315219,-75.840449,2007,2015,8,6,5
45.315224,-75.836666,2007,2016,9,7,5
45.315225,-75.818686,2007,2014,7,5,4
45.315239,-75.818982,2007,2014,7,5,4
45.315256,-75.826829,2007,2015,8,7,5
45.315257,-75.840199,2007,2015,8,6,5
45.315263,-75.838954,2007,2015,8,6,5
45.315264,-75.824741,2007,2014,7,5,4
45.315265,-75.840582,2007,2015,8,5,5
45.315268,-75.821899,2007,2014,7,4,4
45.315269,-75.818568,2007,2014,7,4,3
45.315271,-75.824723,2007,2014,7,5,4
45.315278,-75.836782,2007,2016,9,7,5
45.315286,-75.840653,2007,2015,8,6,5
45.315291,-75.832365,2007,2015,8,6,5
45.315304,-75.840732,2007,2015,8,6,5
45.315315,-75.840777,2007,2015,8,6,5
45.315325,-75.836883,2007,2016,9,7,5
45.315333,-75.840127,2007,2015,8,6,5
45.315337,-75.840123,2007,2015,8,6,5
45.315338,-75.840885,2007,2015,8,5,5
45.315340,-75.840120,2007,2015,8,6,5
45.315342,-75.840909,2007,2015,8,5,5
45.315345,-75.838876,2007,2015,8,6,5
45.315355,-75.821580,2007,2014,7,4,3
45.315362,-75.819223,2007,2014,7,5,4
45.315363,-75.841012,2007,2015,8,6,5
45.315366,-75.841024,2007,2015,8,6,5
45.315372,-75.827115,2007,2015,8,6,5
45.315381,-75.827137,2007,2015,8,6,5
45.315384,-75.837010,2007,2016,9,8,6
45.315387,-75.824442,2007,2014,7,5,4
45.315391,-75.841149,2007,2015,8,6,5
45.315398,-75.841185,2007,2015,8,6,5
45.315409,-75.824389,2007,2014,7,5,4
45.315415,-75.840049,2007,2015,8,6,5
45.315416,-75.841273,2007,2015,8,6,5
45.315424,-75.841309,2007,2015,8,6,5
45.315429,-75.837108,2007,2016,9,8,6
45.315429,-75.838797,2007,2015,8,5,5
45.315477,-75.841570,2007,2015,8,6,5
45.315487,-75.839981,2007,2015,8,6,5
45.315490,-75.837238,2007,2016,9,5,5
45.315499,-75.841680,2007,2015,8,6,5
45.315509,-75.841729,2007,2015,8,6,5
45.315515,-75.817946,2007,2014,7,3,3
45.315523,-75.841798,2007,2015,8,6,5
45.315525,-75.827491,2007,2015,8,6,4
45.315530,-75.824097,2007,2014,7,5,4
45.315534,-75.837322,2007,2016,9,8,6
45.315535,-75.841858,2007,2015,8,6,5
45.315542,-75.829543,2007,2015,8,5,5
45.315547,-75.838708,2007,2015,8,6,5
45.315550,-75.841933,2007,2015,8,6,5
45.315553,-75.817900,2007,2014,7,4,3
45.315555,-75.839916,2007,2015,8,5,5
45.315565,-75.842004,2007,2015,8,6,5
45.315570,-75.819039,2007,2014,7,5,4
45.315575,-75.821764,2007,2014,7,5,4
45.315576,-75.842061,2007,2015,8,6,5
45.315581,-75.839892,2007,2015,8,5,5
45.315592,-75.842139,2007,2015,8,6,5
45.315598,-75.837417,2007,2016,9,8,6
45.315604,-75.842197,2007,2015,8,6,5
45.315625,-75.839850,2007,2015,8,6,5
45.315627,-75.842312,2007,2015,8,6,5
45.315638,-75.838679,2007,2015,8,6,5
45.315641,-75.842381,2007,2015,8,6,5
45.315651,-75.842428,2007,2015,8,6,5
45.315653,-75.837478,2007,2016,9,8,6
45.315659,-75.842466,2007,2015,8,6,5
45.315675,-75.823742,2007,2014,7,5,4
45.315676,-75.838673,2007,2014,7,5,4
45.315682,-75.842583,2007,2015,8,6,5
45.315688,-75.839821,2007,2015,8,6,5
45.315689,-75.823708,2007,2014,7,5,4
45.315704,-75.842661,2007,2015,8,6,5
45.315710,-75.839823,2007,2015,8,6,5
45.315721,-75.842700,2007,2015,8,6,5
45.315739,-75.818919,2007,2014,7,5,4
45.315742,-75.837553,2007,2016,9,8,6
45.315745,-75.839839,2007,2015,8,6,5
45.315754,-75.838667,2007,2015,8,6,5
45.315768,-75.818900,2007,2014,7,5,4
45.315769,-75.842749,2007,2015,8,5,5
45.315770,-75.838666,2007,2015,8,6,5
45.315771,-75.839866,2007,2015,8,6,5
45.315785,-75.823475,2007,2014,7,5,4
45.315795,-75.837579,2007,2016,9,8,6
45.315799,-75.842760,2007,2015,8,5,5
45.315814,-75.829699,2007,2015,8,5,5
45.315820,-75.839961,2007,2015,8,6,5
45.315830,-75.827245,2007,2015,8,6,4
45.315835,-75.821979,2007,2014,7,4,4
45.315841,-75.823340,2007,2014,7,5,4
45.315852,-75.840031,2007,2015,8,6,5
45.315865,-75.837602,2007,2016,9,8,6
45.315868,-75.838658,2007,2015,8,5,4
45.315870,-75.840072,2007,2015,8,6,5
45.315873,-75.838657,2007,2015,8,5,4
45.315881,-75.832205,2007,2015,8,5,5
45.315886,-75.827097,2007,2015,8,6,4
45.315889,-75.842735,2007,2015,8,6,5
45.315921,-75.840186,2007,2015,8,6,5
45.315923,-75.840192,2007,2015,8,6,5
45.315936,-75.837610,2007,2016,9,7,6
45.315940,-75.819958,2007,2014,7,5,4
45.315941,-75.842691,2007,2015,8,6,5
45.315959,-75.823051,2007,2014,7,5,4
45.315963,-75.838650,2007,2015,8,5,4
45.315964,-75.838650,2007,2015,8,5,4
45.315964,-75.840283,2007,2015,8,6,5
45.315967,-75.818780,2007,2014,7,5,4
45.316022,-75.840413,2007,2015,8,5,5
45.316038,-75.822148,2007,2014,7,2,2
45.316050,-75.842592,2007,2015,8,6,5
45.316062,-75.822169,2007,2014,7,2,2
45.316070,-75.829840,2007,2015,8,4,4
45.316077,-75.840538,2007,2015,8,6,5
45.316083,-75.831498,2007,2015,8,5,4
45.316118,-75.842531,2007,2015,8,6,5
45.316126,-75.840659,2007,2015,8,6,5
45.316129,-75.842520,2007,2015,8,6,5
